TimeGenerated,DeviceName,AccountName,FileName,ProcessCommandLine,InitiatingProcessFileName
2025-09-14T14:50:46.723499Z,WKST-ENGR01,user32@corp.local,svchost.exe,svchost.exe -k netsvcs,parent.exe
2025-09-14T13:06:54.723499Z,SRV-DB01,user155@corp.local,explorer.exe,C:\Windows\Explorer.exe /launch,explorer.exe
2025-09-14T07:55:20.723499Z,SRV-DB01,user1@corp.local,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",parent.exe
2025-09-15T04:16:47.723499Z,SRV-DB01,user93@corp.local,cmd.exe,cmd.exe /c whoami,userinit.exe
2025-09-14T06:14:13.723499Z,SRV-WEB02,user90@corp.local,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",chrome.exe
2025-09-15T10:36:28.723499Z,SRV-WEB02,user58@corp.local,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",parent.exe
2025-09-13T15:17:49.723499Z,WKST-ENGR01,user178@corp.local,explorer.exe,C:\Windows\Explorer.exe /launch,parent.exe
2025-09-15T10:43:42.723499Z,SRV-WEB02,user188@corp.local,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",userinit.exe
2025-09-15T10:26:54.723499Z,SRV-APP01,user116@corp.local,conhost.exe,conhost.exe 0x4,parent.exe
2025-09-14T10:58:40.723499Z,SRV-DB01,admin@corp.local,conhost.exe,conhost.exe 0x4,userinit.exe
2025-09-13T20:13:20.723499Z,SRV-WEB02,user19@corp.local,explorer.exe,C:\Windows\Explorer.exe /launch,explorer.exe
2025-09-14T15:52:43.723499Z,SRV-APP01,user25@corp.local,cmd.exe,cmd.exe /c whoami,cmd.exe
2025-09-14T10:28:55.723499Z,SRV-APP01,user127@corp.local,cmd.exe,cmd.exe /c whoami,userinit.exe
2025-09-14T03:03:35.723499Z,WKST-FIN02,user117@corp.local,explorer.exe,C:\Windows\Explorer.exe /launch,parent.exe
2025-09-13T13:17:11.723499Z,SRV-APP02,admin@corp.local,conhost.exe,conhost.exe 0x4,userinit.exe
2025-09-13T12:40:55.723499Z,WKST-ENGR01,user34@corp.local,svchost.exe,svchost.exe -k netsvcs,svchost.exe
2025-09-14T19:32:38.723499Z,SRV-APP02,user66@corp.local,svchost.exe,svchost.exe -k netsvcs,svchost.exe
2025-09-14T18:21:06.723499Z,SRV-APP01,user1@corp.local,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"" /recycle",userinit.exe
2025-09-15T01:28:40.723499Z,SRV-WEB01,user126@corp.local,cmd.exe,cmd.exe /c whoami,userinit.exe
2025-09-15T09:53:21.723499Z,SRV-WEB02,user133@corp.local,conhost.exe,conhost.exe 0x4,parent.exe
2025-09-13T23:06:14.723499Z,WKST-ENGR01,user49@corp.local,cmd.exe,cmd.exe /c whoami,parent.exe
2025-09-14T01:26:24.723499Z,SRV-APP02,user28@corp.local,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",parent.exe
2025-09-14T07:24:25.723499Z,SRV-APP01,user174@corp.local,cmd.exe,cmd.exe /c whoami,userinit.exe
2025-09-14T03:34:42.723499Z,SRV-DB01,user116@corp.local,cmd.exe,cmd.exe /c whoami,cmd.exe
2025-09-15T01:37:33.723499Z,SRV-WEB02,user38@corp.local,explorer.exe,C:\Windows\Explorer.exe /launch,explorer.exe
2025-09-14T17:46:08.723499Z,WKST-FIN02,user27@corp.local,conhost.exe,conhost.exe 0x4,userinit.exe
2025-09-14T10:04:06.723499Z,SRV-WEB02,user73@corp.local,cmd.exe,cmd.exe /c whoami,userinit.exe
2025-09-14T23:12:36.723499Z,SRV-WEB01,user85@corp.local,svchost.exe,svchost.exe -k netsvcs,svchost.exe
2025-09-13T16:22:30.723499Z,WKST-ENGR01,user199@corp.local,conhost.exe,conhost.exe 0x4,conhost.exe
2025-09-15T09:54:55.723499Z,SRV-APP01,user85@corp.local,explorer.exe,C:\Windows\Explorer.exe /launch,userinit.exe
2025-09-14T18:01:55.723499Z,WKST-ENGR01,user119@corp.local,conhost.exe,conhost.exe 0x4,conhost.exe
2025-09-13T21:36:17.723499Z,SRV-WEB01,user6@corp.local,svchost.exe,svchost.exe -k netsvcs,parent.exe
2025-09-15T01:42:05.723499Z,SRV-APP02,user157@corp.local,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer",userinit.exe
2025-09-14T21:01:14.723499Z,SRV-WEB01,user90@corp.local,svchost.exe,svchost.exe -k netsvcs,parent.exe
2025-09-14T03:46:49.723499Z,SRV-DB01,user14@corp.local,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"" /recycle",outlook.exe
2025-09-13T18:11:11.723499Z,SRV-DB01,user85@corp.local,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"" /recycle",parent.exe
2025-09-15T06:46:46.723499Z,SRV-WEB02,user143@corp.local,cmd.exe,cmd.exe /c whoami,userinit.exe
2025-09-13T23:26:41.723499Z,WKST-ENGR01,user128@corp.local,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"" /recycle",outlook.exe
