TimeGenerated,DeviceName,SourceIP,DestinationIP,DestinationHostName
2025-09-15T05:00:26.723499Z,SRV-WEB01,10.84.118.176,198.197.240.183,azureedge.net
2025-09-14T06:46:46.723499Z,SRV-WEB01,10.66.222.165,172.131.227.232,microsoft.com
2025-09-14T03:35:26.723499Z,SRV-APP01,10.237.144.163,55.95.165.79,cdn.contoso.local
2025-09-13T15:39:14.723499Z,WKST-ENGR01,10.161.148.41,77.156.194.93,microsoft.com
2025-09-15T08:59:48.723499Z,SRV-APP01,10.91.253.100,172.86.110.116,google.com
2025-09-14T10:13:36.723499Z,SRV-WEB02,10.209.209.144,20.79.248.88,gstatic.com
2025-09-15T10:13:39.723499Z,SRV-WEB02,10.66.157.209,221.203.51.191,login.microsoftonline.com
2025-09-14T01:59:41.723499Z,SRV-APP02,10.104.96.206,102.168.77.215,graph.microsoft.com
2025-09-13T15:00:36.723499Z,WKST-ENGR01,10.49.153.80,144.146.246.16,azureedge.net
2025-09-13T21:50:53.723499Z,SRV-WEB01,10.151.71.204,60.91.156.149,google.com
2025-09-13T19:10:35.723499Z,WKST-ENGR01,10.65.47.81,172.129.109.210,google.com
2025-09-14T05:57:26.723499Z,SRV-APP01,10.83.221.21,4.202.246.81,graph.microsoft.com
2025-09-13T22:01:12.723499Z,WKST-ENGR01,10.229.14.10,148.12.96.41,login.microsoftonline.com
2025-09-14T08:03:08.723499Z,SRV-APP02,10.190.77.232,161.170.201.33,login.microsoftonline.com
2025-09-13T22:15:05.723499Z,SRV-APP01,10.207.78.65,57.118.106.205,azureedge.net
2025-09-13T22:23:29.723499Z,WKST-ENGR01,10.79.19.109,90.66.93.235,github.com
2025-09-14T17:24:56.723499Z,SRV-APP02,10.253.27.237,113.248.12.113,office365.com
2025-09-13T14:39:03.723499Z,SRV-WEB01,10.26.191.249,124.198.248.91,windowsupdate.com
2025-09-14T04:14:30.723499Z,WKST-ENGR01,10.66.175.199,143.65.176.53,google.com
2025-09-14T20:38:49.723499Z,SRV-WEB01,10.52.243.166,216.173.176.225,login.microsoftonline.com
2025-09-15T03:44:17.723499Z,SRV-APP01,10.206.54.177,184.184.120.216,login.microsoftonline.com
2025-09-15T03:01:21.723499Z,SRV-WEB01,10.249.168.235,195.22.92.141,gstatic.com
2025-09-15T06:09:39.723499Z,SRV-WEB01,10.219.71.61,53.119.132.69,cloudfront.net
2025-09-13T15:22:53.723499Z,WKST-ENGR01,10.237.34.148,123.20.88.220,windowsupdate.com
2025-09-14T16:31:21.723499Z,SRV-WEB02,10.54.4.244,213.4.66.232,microsoft.com
2025-09-14T22:42:13.723499Z,SRV-WEB01,10.149.22.112,85.229.110.133,cdn.contoso.local
2025-09-14T11:55:43.723499Z,WKST-ENGR01,10.19.28.50,2.227.138.239,google.com
2025-09-14T17:35:26.723499Z,SRV-WEB01,10.154.216.217,151.21.13.37,office365.com
2025-09-14T20:42:59.723499Z,SRV-APP01,10.88.111.121,50.114.252.167,gstatic.com
2025-09-14T18:04:14.723499Z,SRV-WEB02,10.121.56.186,121.1.23.249,azureedge.net
2025-09-13T21:49:58.723499Z,SRV-APP02,10.9.189.227,181.179.232.252,github.com
2025-09-13T22:39:13.723499Z,WKST-ENGR01,10.65.206.100,42.229.59.100,cloudfront.net
2025-09-13T20:59:17.723499Z,SRV-WEB01,10.48.118.75,223.26.64.184,graph.microsoft.com
2025-09-15T00:19:29.723499Z,SRV-APP02,10.223.117.8,181.151.128.101,graph.microsoft.com
2025-09-13T20:46:05.723499Z,WKST-ENGR01,10.56.41.142,52.30.150.101,microsoft.com
2025-09-15T01:08:45.723499Z,WKST-ENGR01,10.168.98.94,18.49.189.90,cloudfront.net
2025-09-14T23:58:13.723499Z,SRV-WEB02,10.219.127.128,115.134.235.134,azureedge.net
2025-09-15T01:46:59.723499Z,SRV-WEB02,10.152.169.176,32.155.133.128,cloudfront.net
2025-09-15T02:05:50.723499Z,SRV-WEB01,10.110.109.146,202.125.38.51,login.microsoftonline.com
2025-09-13T20:42:14.723499Z,WKST-ENGR01,10.80.115.159,181.179.215.118,graph.microsoft.com
2025-09-14T10:30:14.723499Z,SRV-APP01,10.47.104.226,121.12.95.237,gstatic.com
2025-09-14T10:26:59.723499Z,SRV-APP01,10.144.13.205,177.76.124.83,windowsupdate.com
2025-09-14T12:51:07.723499Z,SRV-WEB02,10.93.151.251,52.107.252.214,login.microsoftonline.com
2025-09-15T08:20:41.723499Z,SRV-WEB01,10.244.17.204,186.164.76.150,graph.microsoft.com
2025-09-15T07:56:34.723499Z,SRV-WEB01,10.142.53.4,222.25.120.210,google.com
2025-09-15T03:21:03.723499Z,SRV-APP02,10.215.253.193,190.52.176.98,windowsupdate.com
2025-09-13T11:58:45.723499Z,SRV-WEB01,10.141.160.193,88.127.155.73,azureedge.net
2025-09-13T21:24:02.723499Z,SRV-APP02,10.189.117.120,117.53.42.232,office365.com
2025-09-14T16:06:00.723499Z,WKST-ENGR01,10.176.102.116,66.79.70.146,graph.microsoft.com
2025-09-14T21:54:43.723499Z,SRV-WEB01,10.83.81.97,81.239.18.75,cloudfront.net
2025-09-15T10:30:11.723499Z,SRV-WEB02,10.213.83.237,16.148.24.199,microsoft.com
2025-09-13T21:41:57.723499Z,SRV-APP01,10.191.120.222,191.239.13.35,azureedge.net
2025-09-15T07:01:43.723499Z,SRV-APP02,10.8.181.61,201.180.155.121,gstatic.com
2025-09-13T12:50:08.723499Z,SRV-APP02,10.133.17.20,221.126.68.142,office365.com
2025-09-15T05:04:45.723499Z,SRV-APP02,10.255.66.110,126.97.155.33,office365.com
2025-09-14T06:22:21.723499Z,SRV-APP02,10.35.3.85,162.153.165.63,cloudfront.net
2025-09-13T19:21:39.723499Z,WKST-ENGR01,10.11.150.171,199.124.155.73,azureedge.net
2025-09-13T13:05:47.723499Z,SRV-APP01,10.19.167.201,86.149.69.155,login.microsoftonline.com
2025-09-13T12:09:28.723499Z,SRV-APP02,10.31.124.240,108.162.200.42,windowsupdate.com
2025-09-14T20:49:10.723499Z,SRV-WEB01,10.197.38.5,93.10.14.254,cdn.contoso.local
2025-09-15T06:51:41.723499Z,SRV-WEB01,10.248.53.250,161.93.62.113,cloudfront.net
2025-09-13T22:05:58.723499Z,WKST-ENGR01,10.49.236.124,2.142.157.143,azureedge.net
2025-09-15T01:25:09.723499Z,SRV-APP01,10.242.226.94,55.19.200.175,cdn.contoso.local
2025-09-13T19:47:00.723499Z,SRV-APP01,10.148.165.242,108.76.54.191,login.microsoftonline.com
2025-09-14T04:59:37.723499Z,WKST-ENGR01,10.66.120.99,1.10.151.117,google.com
2025-09-14T05:35:21.723499Z,SRV-WEB01,10.212.70.197,176.227.181.254,gstatic.com
2025-09-14T22:59:46.723499Z,SRV-APP01,10.250.49.151,139.139.117.211,cdn.contoso.local
2025-09-14T00:51:12.723499Z,SRV-WEB02,10.26.224.88,213.121.212.141,windowsupdate.com
2025-09-14T16:51:16.723499Z,SRV-WEB01,10.194.162.221,65.25.190.205,gstatic.com
2025-09-14T01:32:24.723499Z,SRV-WEB01,10.18.104.239,43.5.104.75,graph.microsoft.com
2025-09-14T16:29:21.723499Z,SRV-WEB02,10.11.215.167,125.44.157.250,github.com
2025-09-14T23:43:37.723499Z,SRV-WEB02,10.213.43.152,79.182.21.186,cdn.contoso.local
2025-09-13T13:20:16.723499Z,SRV-WEB02,10.90.206.52,176.1.45.112,gstatic.com
2025-09-14T09:56:56.723499Z,WKST-ENGR01,10.78.27.60,89.27.160.228,login.microsoftonline.com
2025-09-13T22:57:56.723499Z,SRV-WEB02,10.220.161.165,22.179.200.114,gstatic.com
2025-09-14T20:55:27.723499Z,SRV-WEB02,10.94.176.120,51.108.59.251,gstatic.com
