TimeGenerated,UserPrincipalName,IPAddress,ResultType,Role
2025-09-15T09:47:24.723499Z,user190@corp.local,58.35.188.27,0,user
2025-09-15T02:56:27.723499Z,user109@corp.local,10.47.111.60,0,user
2025-09-13T13:09:39.723499Z,user184@corp.local,140.107.56.115,0,user
2025-09-13T11:42:06.723499Z,user41@corp.local,88.71.39.56,3,user
2025-09-13T18:40:16.723499Z,user25@corp.local,89.154.67.207,0,user
2025-09-14T20:40:58.723499Z,user97@corp.local,10.150.185.148,0,user
2025-09-13T16:17:36.723499Z,user59@corp.local,21.218.59.222,0,user
2025-09-14T07:28:12.723499Z,user94@corp.local,91.53.171.69,0,user
2025-09-15T10:25:01.723499Z,user163@corp.local,187.62.41.119,0,user
2025-09-15T09:49:55.723499Z,user57@corp.local,216.196.198.15,0,user
2025-09-13T13:33:57.723499Z,user103@corp.local,55.233.241.146,0,user
2025-09-14T10:08:33.723499Z,user128@corp.local,165.117.36.68,0,user
2025-09-15T04:06:22.723499Z,user192@corp.local,150.102.92.57,2,user
2025-09-15T00:19:52.723499Z,user194@corp.local,10.56.78.161,0,user
2025-09-14T17:58:09.723499Z,user99@corp.local,120.135.64.249,0,user
2025-09-13T12:03:52.723499Z,user30@corp.local,138.192.68.197,0,user
2025-09-13T19:21:05.723499Z,user41@corp.local,185.224.184.68,2,user
2025-09-15T00:11:48.723499Z,user161@corp.local,164.129.155.51,0,user
2025-09-13T22:59:32.723499Z,user200@corp.local,1.153.82.126,0,user
2025-09-14T13:39:36.723499Z,user79@corp.local,62.224.145.243,0,user
2025-09-14T22:37:02.723499Z,user195@corp.local,33.32.168.122,2,user
2025-09-14T06:31:46.723499Z,user156@corp.local,55.237.138.194,0,user
2025-09-14T01:52:33.723499Z,user103@corp.local,167.95.112.231,0,user
2025-09-13T20:02:23.723499Z,user17@corp.local,151.141.58.151,0,user
2025-09-13T16:23:53.723499Z,user16@corp.local,9.220.84.19,0,user
2025-09-14T07:30:24.723499Z,user55@corp.local,186.239.225.147,0,user
2025-09-14T04:55:23.723499Z,user105@corp.local,25.168.110.91,0,user
2025-09-14T21:14:10.723499Z,user14@corp.local,166.25.15.104,0,user
2025-09-13T19:11:07.723499Z,user49@corp.local,36.108.46.72,0,user
2025-09-13T16:43:04.723499Z,user141@corp.local,10.7.47.238,0,user
2025-09-14T04:26:28.723499Z,user125@corp.local,222.102.231.16,0,user
2025-09-13T11:23:08.723499Z,user68@corp.local,201.116.73.109,0,user
2025-09-15T03:41:54.723499Z,user125@corp.local,76.55.247.15,0,user
2025-09-15T02:42:36.723499Z,user81@corp.local,10.244.80.15,1,user
2025-09-14T00:45:35.723499Z,user18@corp.local,61.103.30.242,2,user
2025-09-15T05:23:03.723499Z,user159@corp.local,10.161.133.53,0,user
2025-09-14T10:06:24.723499Z,user102@corp.local,10.153.234.81,1,user
2025-09-13T11:54:24.723499Z,user145@corp.local,19.137.54.130,0,user
2025-09-14T12:38:33.723499Z,user63@corp.local,41.112.213.140,0,user
2025-09-15T07:46:10.723499Z,user168@corp.local,171.209.141.77,1,user
2025-09-13T21:00:26.723499Z,user28@corp.local,40.69.72.155,0,user
2025-09-14T12:11:47.723499Z,user163@corp.local,130.125.64.232,1,user
2025-09-13T17:56:58.723499Z,user71@corp.local,10.170.66.164,2,user
2025-09-14T19:24:07.723499Z,user110@corp.local,29.19.241.227,0,user
2025-09-13T22:04:56.723499Z,user95@corp.local,38.110.32.11,0,user
2025-09-13T14:08:01.723499Z,user54@corp.local,171.26.90.200,0,user
2025-09-14T16:49:12.723499Z,user192@corp.local,61.221.41.250,0,user
2025-09-14T00:07:16.723499Z,user7@corp.local,86.200.238.106,0,user
2025-09-14T05:17:58.723499Z,user180@corp.local,10.19.240.57,0,user
2025-09-14T20:44:48.723499Z,user59@corp.local,169.49.102.85,0,user
2025-09-13T16:17:01.723499Z,user72@corp.local,131.102.173.252,0,user
2025-09-14T11:20:31.723499Z,user30@corp.local,67.45.148.247,1,user
2025-09-13T19:07:20.723499Z,user89@corp.local,81.111.155.252,0,user
2025-09-14T15:16:39.723499Z,user49@corp.local,182.111.0.134,50055,user
2025-09-14T01:34:34.723499Z,user18@corp.local,85.159.80.170,0,user
2025-09-14T09:05:50.723499Z,user171@corp.local,104.178.75.142,0,user
2025-09-14T17:50:40.723499Z,user98@corp.local,45.157.145.78,0,user
2025-09-13T11:15:29.723499Z,user54@corp.local,149.155.167.83,0,user
2025-09-14T19:25:32.723499Z,user131@corp.local,204.188.43.169,0,user
2025-09-15T00:45:45.723499Z,user159@corp.local,210.243.192.61,0,user
2025-09-14T03:35:11.723499Z,user38@corp.local,10.125.243.157,0,user
2025-09-13T16:31:54.723499Z,user162@corp.local,184.178.98.127,0,user
2025-09-13T21:58:27.723499Z,user2@corp.local,221.197.226.28,0,user
2025-09-14T03:09:50.723499Z,user179@corp.local,13.142.63.235,0,user
2025-09-14T20:28:01.723499Z,user119@corp.local,144.152.81.244,0,user
2025-09-14T19:27:20.723499Z,user185@corp.local,110.212.232.141,0,user
2025-09-13T22:49:05.723499Z,user122@corp.local,193.63.215.164,0,user
2025-09-15T01:11:18.723499Z,user62@corp.local,20.182.73.61,0,user
2025-09-14T10:30:32.723499Z,user21@corp.local,10.118.196.178,0,user
2025-09-14T02:48:29.723499Z,user105@corp.local,120.106.15.53,0,user
2025-09-14T15:35:22.723499Z,user150@corp.local,6.219.225.196,0,user
2025-09-14T21:57:40.723499Z,admin@corp.local,193.99.218.229,50053,admin
2025-09-15T02:25:14.723499Z,user140@corp.local,57.124.56.70,0,user
2025-09-13T13:20:31.723499Z,user172@corp.local,104.185.42.216,0,user
2025-09-13T20:31:19.723499Z,user137@corp.local,10.201.13.22,0,user
2025-09-13T21:06:35.723499Z,user47@corp.local,10.194.167.55,0,user
2025-09-14T11:48:16.723499Z,user98@corp.local,213.107.64.214,0,user
2025-09-13T12:38:24.723499Z,user14@corp.local,90.57.166.18,0,user
2025-09-15T10:41:16.723499Z,user8@corp.local,52.214.5.160,0,user
2025-09-13T20:25:11.723499Z,user30@corp.local,56.119.179.66,0,user
2025-09-13T23:26:47.723499Z,user192@corp.local,200.209.41.247,0,user
2025-09-15T05:22:01.723499Z,user80@corp.local,97.101.241.184,0,user
2025-09-15T06:20:37.723499Z,user161@corp.local,179.197.77.218,0,user
2025-09-13T20:02:36.723499Z,user145@corp.local,89.136.109.170,0,user
2025-09-15T00:04:17.723499Z,user4@corp.local,211.125.27.111,50053,user
2025-09-13T22:22:08.723499Z,user188@corp.local,167.69.157.207,50053,user
2025-09-14T21:04:46.723499Z,user188@corp.local,83.218.62.213,3,user
2025-09-14T20:03:18.723499Z,user119@corp.local,172.97.86.8,0,user
2025-09-14T10:53:43.723499Z,user55@corp.local,67.87.71.226,0,user
2025-09-14T07:20:45.723499Z,user133@corp.local,22.61.184.105,0,user
2025-09-14T04:43:42.723499Z,user166@corp.local,115.202.4.24,0,user
2025-09-14T16:40:34.723499Z,user79@corp.local,95.121.141.136,0,user
2025-09-15T03:18:24.723499Z,user180@corp.local,79.64.59.31,0,user
2025-09-14T10:12:22.723499Z,user138@corp.local,177.47.49.56,0,user
2025-09-14T07:21:45.723499Z,user195@corp.local,73.251.25.214,0,user
2025-09-14T03:47:36.723499Z,user78@corp.local,10.64.140.12,50055,user
2025-09-14T08:30:04.723499Z,user33@corp.local,193.125.26.224,0,user
2025-09-14T07:56:00.723499Z,user113@corp.local,14.64.240.221,0,user
2025-09-13T15:59:12.723499Z,user19@corp.local,176.13.38.39,0,user
2025-09-14T09:21:11.723499Z,user64@corp.local,10.213.115.199,0,user
2025-09-14T20:02:02.723499Z,user77@corp.local,110.78.145.159,0,user
2025-09-13T18:27:16.723499Z,user54@corp.local,68.169.20.41,0,user
2025-09-15T03:25:24.723499Z,user1@corp.local,177.152.120.75,0,user
2025-09-14T08:12:27.723499Z,user180@corp.local,19.175.59.237,0,user
